cline,Psi,Psi_10
GBM1a,0.11456943,0.00850409
QNS120,0.14706108481307686,0.002094342
QNS108,0.003663855738707867,0.000918066
QNS315,0,0
QNS657,0.07438432117303384,0.006332659
