cline,rep,group,Exp,dose,ncells,ncolonies,pe,norm_pe
GBM626,1.0,MSC-BMP4,r05,6.0,2000.0,6.0,0.003,0.04573170731707317
GBM626,1.0,MSC-BMP4,r06,6.0,2000.0,5.0,0.0025,0.038109756097560975
GBM965,3.0,MSC-BMP4,r06,6.0,2000.0,1.0,0.0005,0.016666666666666666
GBM965,3.0,MSC-EV,r06,6.0,2000.0,7.0,0.0035,0.057692307692307696
GBM965,3.0,BMP4,r06,6.0,2000.0,7.0,0.0035,0.18229166666666666
GBM965,3.0,CTRL,r06,6.0,2000.0,16.0,0.008,0.125
QNS120,2.0,BMP4,r01,6.0,2000.0,3.0,0.0015,0.375
QNS120,2.0,BMP4,r02,6.0,2000.0,4.0,0.002,0.5
QNS120,2.0,BMP4,r03,6.0,2000.0,2.0,0.001,0.25
QNS120,2.0,BMP4,r04,6.0,2000.0,2.0,0.001,0.25
QNS120,2.0,BMP4,r05,6.0,2000.0,1.0,0.0005,0.125
GBM965,5.0,CTRL,r01,6.0,2000.0,17.0,0.0085,0.5543478260869565
GBM965,5.0,BMP4,r01,6.0,2000.0,3.0,0.0015,0.11249999999999998
GBM965,5.0,MSC-EV,r01,6.0,2000.0,19.0,0.0095,0.6785714285714285
GBM965,5.0,MSC-BMP4,r01,6.0,2000.0,8.0,0.004,0.28571428571428575
GBM965,5.0,MSC-BMP4,r02,6.0,2000.0,14.0,0.007,0.5000000000000001
GBM965,5.0,MSC-EV,r02,6.0,2000.0,14.0,0.007,0.5
GBM965,5.0,BMP4,r02,6.0,2000.0,11.0,0.0055,0.4124999999999999
GBM965,5.0,FBS,r02,6.0,2000.0,14.0,0.007,0.42000000000000004
GBM965,5.0,CTRL,r02,6.0,2000.0,14.0,0.007,0.4565217391304348
QNS120,2.0,BMP4,r06,6.0,2000.0,1.0,0.0005,0.125
QNS120,2.0,BMP4,r01,4.0,1000.0,3.0,0.003,0.75
QNS120,2.0,BMP4,r02,4.0,1000.0,1.0,0.001,0.25
QNS120,2.0,BMP4,r03,4.0,1000.0,1.0,0.001,0.25
QNS120,2.0,BMP4,r04,4.0,1000.0,1.0,0.001,0.25
QNS120,2.0,BMP4,r05,4.0,1000.0,2.0,0.002,0.5
QNS120,2.0,BMP4,r06,4.0,1000.0,1.0,0.001,0.25
QNS120,1.0,BMP4,r04,2.0,500.0,2.0,0.004,1.0
QNS120,1.0,BMP4,r05,2.0,500.0,1.0,0.002,0.5
GBM965,5.0,CTRL,r03,6.0,2000.0,12.0,0.006,0.391304347826087
GBM965,5.0,FBS,r03,6.0,2000.0,11.0,0.0055,0.32999999999999996
GBM965,5.0,BMP4,r03,6.0,2000.0,7.0,0.0035,0.26249999999999996
GBM965,5.0,MSC-EV,r03,6.0,2000.0,21.0,0.0105,0.75
GBM965,5.0,MSC-BMP4,r03,6.0,2000.0,16.0,0.008,0.5714285714285715
GBM965,5.0,MSC-BMP4,r04,6.0,2000.0,8.0,0.004,0.28571428571428575
GBM965,5.0,MSC-EV,r04,6.0,2000.0,16.0,0.008,0.5714285714285714
GBM965,5.0,BMP4,r04,6.0,2000.0,8.0,0.004,0.29999999999999993
GBM965,5.0,FBS,r04,6.0,2000.0,9.0,0.0045,0.26999999999999996
GBM965,5.0,CTRL,r04,6.0,2000.0,8.0,0.004,0.2608695652173913
QNS120,1.0,BMP4,r02,2.0,500.0,2.0,0.004,1.0
QNS120,1.0,BMP4,r03,2.0,500.0,1.0,0.002,0.5
QNS120,1.0,BMP4,r06,2.0,500.0,1.0,0.002,0.5
QNS120,2.0,BMP4,r01,0.0,250.0,1.0,0.004,1.0
QNS120,2.0,BMP4,r02,0.0,250.0,1.0,0.004,1.0
QNS120,2.0,BMP4,r03,0.0,250.0,1.0,0.004,1.0
QNS120,2.0,BMP4,r04,0.0,250.0,1.0,0.004,1.0
QNS120,2.0,BMP4,r05,0.0,250.0,1.0,0.004,1.0
QNS120,2.0,BMP4,r06,0.0,250.0,1.0,0.004,1.0
QNS120,1.0,BMP4,r01,6.0,2000.0,1.0,0.0005,0.125
GBM965,5.0,CTRL,r05,6.0,2000.0,11.0,0.0055,0.358695652173913
GBM965,5.0,FBS,r05,6.0,2000.0,12.0,0.006,0.36
GBM965,5.0,BMP4,r05,6.0,2000.0,3.0,0.0015,0.11249999999999998
GBM965,5.0,MSC-EV,r05,6.0,2000.0,14.0,0.007,0.5
GBM965,5.0,MSC-BMP4,r05,6.0,2000.0,8.0,0.004,0.28571428571428575
GBM965,5.0,MSC-BMP4,r06,6.0,2000.0,8.0,0.004,0.28571428571428575
GBM965,5.0,MSC-EV,r06,6.0,2000.0,17.0,0.0085,0.6071428571428572
GBM965,5.0,BMP4,r06,6.0,2000.0,7.0,0.0035,0.26249999999999996
GBM965,5.0,FBS,r06,6.0,2000.0,16.0,0.008,0.48000000000000004
GBM965,5.0,CTRL,r06,6.0,2000.0,7.0,0.0035,0.2282608695652174
GBM1a,4.0,BMP4,r01,6.0,2000.0,1.0,0.0005,0.02112676056338028
GBM1a,4.0,BMP4,r04,4.0,1000.0,1.0,0.001,0.04225352112676056
GBM1a,4.0,BMP4,r01,2.0,500.0,4.0,0.008,0.3380281690140845
GBM1a,4.0,BMP4,r01,2.0,500.0,1.0,0.002,0.08450704225352113
GBM1a,4.0,BMP4,r02,2.0,500.0,3.0,0.006,0.2535211267605634
GBM1a,4.0,BMP4,r02,2.0,500.0,2.0,0.004,0.16901408450704225
GBM1a,4.0,BMP4,r03,2.0,500.0,4.0,0.008,0.3380281690140845
GBM1a,4.0,BMP4,r03,2.0,500.0,1.0,0.002,0.08450704225352113
GBM1a,4.0,BMP4,r04,2.0,500.0,1.0,0.002,0.08450704225352113
GBM1a,4.0,BMP4,r04,2.0,500.0,1.0,0.002,0.08450704225352113
GBM1a,4.0,BMP4,r05,2.0,500.0,2.0,0.004,0.16901408450704225
GBM1a,4.0,BMP4,r05,2.0,500.0,3.0,0.006,0.2535211267605634
GBM1a,4.0,BMP4,r06,2.0,500.0,3.0,0.006,0.2535211267605634
GBM1a,4.0,BMP4,r06,2.0,500.0,1.0,0.002,0.08450704225352113
GBM1a,4.0,BMP4,r01,0.0,250.0,4.0,0.016,0.676056338028169
GBM1a,4.0,BMP4,r01,0.0,250.0,8.0,0.032,1.352112676056338
GBM1a,4.0,BMP4,r02,0.0,250.0,7.0,0.028,1.1830985915492958
GBM1a,4.0,BMP4,r02,0.0,250.0,6.0,0.024,1.0140845070422535
GBM1a,4.0,BMP4,r03,0.0,250.0,5.0,0.02,0.8450704225352111
GBM1a,4.0,BMP4,r03,0.0,250.0,6.0,0.024,1.0140845070422535
GBM1a,4.0,BMP4,r04,0.0,250.0,3.0,0.012,0.5070422535211268
GBM1a,4.0,BMP4,r04,0.0,250.0,5.0,0.02,0.8450704225352111
GBM1a,4.0,BMP4,r05,0.0,250.0,4.0,0.016,0.676056338028169
GBM1a,4.0,BMP4,r05,0.0,250.0,6.0,0.024,1.0140845070422535
GBM1a,4.0,BMP4,r06,0.0,250.0,9.0,0.036,1.52112676056338
GBM1a,4.0,BMP4,r06,0.0,250.0,8.0,0.032,1.352112676056338
GBM1a,4.0,CTRL,r01,6.0,2000.0,2.0,0.001,0.012254901960784315
GBM1a,4.0,CTRL,r01,6.0,2000.0,4.0,0.002,0.02450980392156863
GBM1a,4.0,CTRL,r02,6.0,2000.0,1.0,0.0005,0.006127450980392158
GBM1a,4.0,CTRL,r03,6.0,2000.0,4.0,0.002,0.02450980392156863
GBM1a,4.0,CTRL,r03,6.0,2000.0,2.0,0.001,0.012254901960784315
GBM1a,4.0,CTRL,r04,6.0,2000.0,2.0,0.001,0.012254901960784315
GBM1a,4.0,CTRL,r04,6.0,2000.0,6.0,0.003,0.03676470588235294
GBM1a,4.0,CTRL,r05,6.0,2000.0,2.0,0.001,0.012254901960784315
GBM1a,4.0,CTRL,r06,6.0,2000.0,1.0,0.0005,0.006127450980392158
GBM1a,4.0,CTRL,r06,6.0,2000.0,6.0,0.003,0.03676470588235294
GBM1a,4.0,CTRL,r01,4.0,1000.0,7.0,0.007,0.08578431372549021
GBM1a,4.0,CTRL,r01,4.0,1000.0,4.0,0.004,0.04901960784313726
GBM1a,4.0,CTRL,r02,4.0,1000.0,6.0,0.006,0.07352941176470588
GBM1a,4.0,CTRL,r02,4.0,1000.0,12.0,0.012,0.14705882352941177
GBM1a,4.0,CTRL,r03,4.0,1000.0,14.0,0.014,0.17156862745098042
GBM1a,4.0,CTRL,r03,4.0,1000.0,5.0,0.005,0.06127450980392157
GBM1a,4.0,CTRL,r04,4.0,1000.0,8.0,0.008,0.09803921568627452
GBM1a,4.0,CTRL,r04,4.0,1000.0,18.0,0.018,0.22058823529411764
GBM1a,4.0,CTRL,r05,4.0,1000.0,12.0,0.012,0.14705882352941177
GBM1a,4.0,CTRL,r05,4.0,1000.0,9.0,0.009,0.11029411764705882
GBM1a,4.0,CTRL,r06,4.0,1000.0,8.0,0.008,0.09803921568627452
GBM1a,4.0,CTRL,r06,4.0,1000.0,15.0,0.015,0.18382352941176472
GBM1a,4.0,CTRL,r01,2.0,500.0,28.0,0.056,0.6862745098039217
GBM1a,4.0,CTRL,r01,2.0,500.0,34.0,0.068,0.8333333333333335
GBM1a,4.0,CTRL,r02,2.0,500.0,18.0,0.036,0.4411764705882353
GBM1a,4.0,CTRL,r03,2.0,500.0,18.0,0.036,0.4411764705882353
GBM1a,4.0,CTRL,r03,2.0,500.0,28.0,0.056,0.6862745098039217
GBM1a,4.0,CTRL,r04,2.0,500.0,26.0,0.052,0.6372549019607844
GBM1a,4.0,CTRL,r04,2.0,500.0,24.0,0.048,0.5882352941176471
GBM1a,4.0,CTRL,r05,2.0,500.0,14.0,0.028,0.34313725490196084
GBM1a,4.0,CTRL,r05,2.0,500.0,25.0,0.05,0.6127450980392157
GBM1a,4.0,CTRL,r06,2.0,500.0,19.0,0.038,0.46568627450980393
GBM1a,4.0,CTRL,r01,0.0,250.0,25.0,0.1,1.2254901960784315
GBM1a,4.0,CTRL,r02,0.0,250.0,22.0,0.088,1.0784313725490196
GBM1a,4.0,CTRL,r02,0.0,250.0,23.0,0.092,1.1274509803921569
GBM1a,4.0,CTRL,r03,0.0,250.0,19.0,0.076,0.9313725490196079
GBM1a,4.0,CTRL,r03,0.0,250.0,21.0,0.084,1.0294117647058825
GBM1a,4.0,CTRL,r04,0.0,250.0,23.0,0.092,1.1274509803921569
GBM1a,4.0,CTRL,r04,0.0,250.0,23.0,0.092,1.1274509803921569
GBM1a,4.0,CTRL,r05,0.0,250.0,12.0,0.048,0.5882352941176471
GBM1a,4.0,CTRL,r05,0.0,250.0,14.0,0.056,0.6862745098039217
GBM1a,4.0,CTRL,r06,0.0,250.0,22.0,0.088,1.0784313725490196
GBM1a,4.0,MSC-EV,r01,6.0,2000.0,1.0,0.0005,0.006510416666666666
GBM1a,4.0,MSC-EV,r01,6.0,2000.0,2.0,0.001,0.013020833333333332
GBM1a,4.0,MSC-EV,r02,6.0,2000.0,1.0,0.0005,0.006510416666666666
GBM1a,4.0,MSC-EV,r03,6.0,2000.0,2.0,0.001,0.013020833333333332
GBM1a,4.0,MSC-EV,r04,6.0,2000.0,2.0,0.001,0.013020833333333332
GBM1a,4.0,MSC-EV,r06,6.0,2000.0,1.0,0.0005,0.006510416666666666
GBM1a,4.0,MSC-EV,r01,4.0,1000.0,2.0,0.002,0.026041666666666664
GBM1a,4.0,MSC-EV,r01,4.0,1000.0,2.0,0.002,0.026041666666666664
GBM1a,4.0,MSC-EV,r02,4.0,1000.0,3.0,0.003,0.0390625
GBM1a,4.0,MSC-EV,r02,4.0,1000.0,1.0,0.001,0.013020833333333332
GBM1a,4.0,MSC-EV,r03,4.0,1000.0,1.0,0.001,0.013020833333333332
GBM1a,4.0,MSC-EV,r03,4.0,1000.0,5.0,0.005,0.06510416666666666
GBM1a,4.0,MSC-EV,r04,4.0,1000.0,3.0,0.003,0.0390625
GBM1a,4.0,MSC-EV,r04,4.0,1000.0,3.0,0.003,0.0390625
GBM1a,4.0,MSC-EV,r05,4.0,1000.0,3.0,0.003,0.0390625
GBM1a,4.0,MSC-EV,r05,4.0,1000.0,7.0,0.007,0.09114583333333333
GBM1a,4.0,MSC-EV,r06,4.0,1000.0,6.0,0.006,0.078125
GBM1a,4.0,MSC-EV,r06,4.0,1000.0,4.0,0.004,0.05208333333333333
GBM1a,4.0,MSC-EV,r01,2.0,500.0,11.0,0.022,0.2864583333333333
GBM1a,4.0,MSC-EV,r01,2.0,500.0,16.0,0.032,0.41666666666666663
GBM1a,4.0,MSC-EV,r02,2.0,500.0,17.0,0.034,0.4427083333333333
GBM1a,4.0,MSC-EV,r02,2.0,500.0,12.0,0.024,0.3125
GBM1a,4.0,MSC-EV,r03,2.0,500.0,15.0,0.03,0.39062499999999994
GBM1a,4.0,MSC-EV,r05,2.0,500.0,15.0,0.03,0.39062499999999994
GBM1a,4.0,MSC-EV,r05,2.0,500.0,22.0,0.044,0.5729166666666666
GBM1a,4.0,MSC-EV,r06,2.0,500.0,19.0,0.038,0.49479166666666663
GBM1a,4.0,MSC-EV,r06,2.0,500.0,13.0,0.026,0.33854166666666663
GBM1a,4.0,MSC-EV,r01,0.0,250.0,17.0,0.068,0.8854166666666666
GBM1a,4.0,MSC-EV,r01,0.0,250.0,17.0,0.068,0.8854166666666666
GBM1a,4.0,MSC-EV,r02,0.0,250.0,15.0,0.06,0.7812499999999999
GBM1a,4.0,MSC-EV,r03,0.0,250.0,18.0,0.072,0.9374999999999999
GBM1a,4.0,MSC-EV,r03,0.0,250.0,26.0,0.104,1.3541666666666665
GBM1a,4.0,MSC-EV,r04,0.0,250.0,12.0,0.048,0.625
GBM1a,4.0,MSC-EV,r05,0.0,250.0,16.0,0.064,0.8333333333333333
GBM1a,4.0,MSC-EV,r05,0.0,250.0,29.0,0.116,1.5104166666666665
GBM1a,4.0,MSC-EV,r06,0.0,250.0,26.0,0.104,1.3541666666666665
GBM1a,4.0,MSC-EV,r06,0.0,250.0,16.0,0.064,0.8333333333333333
GBM1a,4.0,FBS,r01,6.0,2000.0,1.0,0.0005,0.007396449704142012
GBM1a,4.0,FBS,r01,6.0,2000.0,5.0,0.0025,0.03698224852071006
GBM1a,4.0,FBS,r02,6.0,2000.0,2.0,0.001,0.014792899408284025
GBM1a,4.0,FBS,r02,6.0,2000.0,8.0,0.004,0.0591715976331361
GBM1a,4.0,FBS,r03,6.0,2000.0,5.0,0.0025,0.03698224852071006
GBM1a,4.0,FBS,r03,6.0,2000.0,3.0,0.0015,0.022189349112426038
GBM1a,4.0,FBS,r04,6.0,2000.0,3.0,0.0015,0.022189349112426038
GBM1a,4.0,FBS,r04,6.0,2000.0,8.0,0.004,0.0591715976331361
GBM1a,4.0,FBS,r05,6.0,2000.0,1.0,0.0005,0.007396449704142012
GBM1a,4.0,FBS,r05,6.0,2000.0,2.0,0.001,0.014792899408284025
GBM1a,4.0,FBS,r06,6.0,2000.0,1.0,0.0005,0.007396449704142012
GBM1a,4.0,FBS,r06,6.0,2000.0,2.0,0.001,0.014792899408284025
GBM1a,4.0,FBS,r02,4.0,1000.0,14.0,0.014,0.20710059171597636
GBM1a,4.0,FBS,r02,4.0,1000.0,9.0,0.009,0.13313609467455623
GBM1a,4.0,FBS,r03,4.0,1000.0,7.0,0.007,0.10355029585798818
GBM1a,4.0,FBS,r05,4.0,1000.0,9.0,0.009,0.13313609467455623
GBM1a,4.0,FBS,r06,4.0,1000.0,8.0,0.008,0.1183431952662722
GBM1a,4.0,FBS,r06,4.0,1000.0,16.0,0.016,0.2366863905325444
GBM1a,4.0,FBS,r01,2.0,500.0,24.0,0.048,0.7100591715976332
GBM1a,4.0,FBS,r01,2.0,500.0,19.0,0.038,0.562130177514793
GBM1a,4.0,FBS,r02,2.0,500.0,22.0,0.044,0.650887573964497
GBM1a,4.0,FBS,r02,2.0,500.0,18.0,0.036,0.5325443786982249
GBM1a,4.0,FBS,r03,2.0,500.0,18.0,0.036,0.5325443786982249
GBM1a,4.0,FBS,r03,2.0,500.0,33.0,0.066,0.9763313609467457
GBM1a,4.0,FBS,r04,2.0,500.0,26.0,0.052,0.7692307692307693
GBM1a,4.0,FBS,r04,2.0,500.0,18.0,0.036,0.5325443786982249
GBM1a,4.0,FBS,r05,2.0,500.0,17.0,0.034,0.5029585798816569
GBM1a,4.0,FBS,r05,2.0,500.0,18.0,0.036,0.5325443786982249
GBM1a,4.0,FBS,r06,2.0,500.0,21.0,0.042,0.6213017751479291
GBM1a,4.0,FBS,r01,0.0,250.0,17.0,0.068,1.0059171597633139
GBM1a,4.0,FBS,r02,0.0,250.0,17.0,0.068,1.0059171597633139
GBM1a,4.0,FBS,r02,0.0,250.0,13.0,0.052,0.7692307692307693
GBM1a,4.0,FBS,r03,0.0,250.0,21.0,0.084,1.2426035502958581
GBM1a,4.0,FBS,r03,0.0,250.0,21.0,0.084,1.2426035502958581
GBM1a,4.0,FBS,r04,0.0,250.0,18.0,0.072,1.0650887573964498
GBM1a,4.0,FBS,r04,0.0,250.0,14.0,0.056,0.8284023668639054
GBM1a,4.0,FBS,r05,0.0,250.0,14.0,0.056,0.8284023668639054
GBM1a,4.0,FBS,r05,0.0,250.0,19.0,0.076,1.124260355029586
GBM1a,4.0,FBS,r06,0.0,250.0,15.0,0.06,0.8875739644970415
GBM1a,4.0,MSC-BMP4,r01,6.0,2000.0,3.0,0.0015,0.01778656126482214
GBM1a,4.0,MSC-BMP4,r02,6.0,2000.0,1.0,0.0005,0.005928853754940713
GBM1a,4.0,MSC-BMP4,r03,6.0,2000.0,2.0,0.001,0.011857707509881426
GBM1a,4.0,MSC-BMP4,r04,6.0,2000.0,1.0,0.0005,0.005928853754940713
GBM1a,4.0,MSC-BMP4,r04,6.0,2000.0,4.0,0.002,0.02371541501976285
GBM1a,4.0,MSC-BMP4,r05,6.0,2000.0,2.0,0.001,0.011857707509881426
GBM1a,4.0,MSC-BMP4,r06,6.0,2000.0,1.0,0.0005,0.005928853754940713
GBM1a,4.0,MSC-BMP4,r01,4.0,1000.0,5.0,0.005,0.059288537549407126
GBM1a,4.0,MSC-BMP4,r02,4.0,1000.0,5.0,0.005,0.059288537549407126
GBM1a,4.0,MSC-BMP4,r02,4.0,1000.0,4.0,0.004,0.0474308300395257
GBM1a,4.0,MSC-BMP4,r03,4.0,1000.0,2.0,0.002,0.02371541501976285
GBM1a,4.0,MSC-BMP4,r03,4.0,1000.0,7.0,0.007,0.08300395256916998
GBM1a,4.0,MSC-BMP4,r04,4.0,1000.0,4.0,0.004,0.0474308300395257
GBM1a,4.0,MSC-BMP4,r04,4.0,1000.0,7.0,0.007,0.08300395256916998
GBM1a,4.0,MSC-BMP4,r05,4.0,1000.0,3.0,0.003,0.03557312252964428
GBM1a,4.0,MSC-BMP4,r05,4.0,1000.0,5.0,0.005,0.059288537549407126
GBM1a,4.0,MSC-BMP4,r06,4.0,1000.0,8.0,0.008,0.0948616600790514
GBM1a,4.0,MSC-BMP4,r06,4.0,1000.0,2.0,0.002,0.02371541501976285
GBM1a,4.0,MSC-BMP4,r01,2.0,500.0,16.0,0.032,0.3794466403162056
GBM1a,4.0,MSC-BMP4,r01,2.0,500.0,16.0,0.032,0.3794466403162056
GBM1a,4.0,MSC-BMP4,r02,2.0,500.0,18.0,0.036,0.42687747035573126
GBM1a,4.0,MSC-BMP4,r02,2.0,500.0,11.0,0.022,0.26086956521739135
GBM1a,4.0,MSC-BMP4,r03,2.0,500.0,14.0,0.028,0.3320158102766799
GBM1a,4.0,MSC-BMP4,r03,2.0,500.0,21.0,0.042,0.4980237154150199
GBM1a,4.0,MSC-BMP4,r04,2.0,500.0,22.0,0.044,0.5217391304347827
GBM1a,4.0,MSC-BMP4,r04,2.0,500.0,11.0,0.022,0.26086956521739135
GBM1a,4.0,MSC-BMP4,r05,2.0,500.0,15.0,0.03,0.35573122529644274
GBM1a,4.0,MSC-BMP4,r05,2.0,500.0,18.0,0.036,0.42687747035573126
GBM1a,4.0,MSC-BMP4,r06,2.0,500.0,16.0,0.032,0.3794466403162056
GBM1a,4.0,MSC-BMP4,r01,0.0,250.0,15.0,0.06,0.7114624505928855
GBM1a,4.0,MSC-BMP4,r01,0.0,250.0,23.0,0.092,1.090909090909091
GBM1a,4.0,MSC-BMP4,r02,0.0,250.0,26.0,0.104,1.2332015810276682
GBM1a,4.0,MSC-BMP4,r02,0.0,250.0,15.0,0.06,0.7114624505928855
GBM1a,4.0,MSC-BMP4,r03,0.0,250.0,22.0,0.088,1.0434782608695654
GBM1a,4.0,MSC-BMP4,r03,0.0,250.0,21.0,0.084,0.9960474308300398
GBM1a,4.0,MSC-BMP4,r04,0.0,250.0,23.0,0.092,1.090909090909091
GBM1a,4.0,MSC-BMP4,r04,0.0,250.0,15.0,0.06,0.7114624505928855
GBM1a,4.0,MSC-BMP4,r05,0.0,250.0,18.0,0.072,0.8537549407114625
GBM1a,4.0,MSC-BMP4,r05,0.0,250.0,26.0,0.104,1.2332015810276682
GBM1a,4.0,MSC-BMP4,r06,0.0,250.0,27.0,0.108,1.2806324110671938
GBM1a,4.0,MSC-BMP4,r06,0.0,250.0,22.0,0.088,1.0434782608695654
QNS120,1.0,BMP4,r01,4.0,1000.0,1.0,0.001,0.25
GBM965,5.0,CTRL,r01,4.0,1000.0,8.0,0.008,0.5217391304347826
GBM965,5.0,FBS,r01,4.0,1000.0,16.0,0.016,0.9600000000000001
GBM965,5.0,BMP4,r01,4.0,1000.0,9.0,0.009,0.6749999999999998
GBM965,5.0,MSC-EV,r01,4.0,1000.0,16.0,0.016,1.1428571428571428
GBM965,5.0,MSC-BMP4,r01,4.0,1000.0,8.0,0.008,0.5714285714285715
GBM965,5.0,MSC-BMP4,r02,4.0,1000.0,9.0,0.009,0.6428571428571429
GBM965,5.0,MSC-EV,r02,4.0,1000.0,8.0,0.008,0.5714285714285714
GBM965,5.0,BMP4,r02,4.0,1000.0,9.0,0.009,0.6749999999999998
GBM965,5.0,FBS,r02,4.0,1000.0,11.0,0.011,0.6599999999999999
GBM965,5.0,CTRL,r02,4.0,1000.0,9.0,0.009,0.5869565217391304
QNS120,1.0,CTRL,r01,2.0,500.0,3.0,0.006,1.125
QNS120,1.0,CTRL,r05,2.0,500.0,4.0,0.008,1.5
QNS120,1.0,CTRL,r03,2.0,500.0,6.0,0.012,2.25
QNS120,1.0,CTRL,r06,2.0,500.0,2.0,0.004,0.75
QNS120,1.0,BMP4,r01,0.0,250.0,1.0,0.004,1.0
QNS120,1.0,BMP4,r04,0.0,250.0,1.0,0.004,1.0
QNS120,1.0,BMP4,r05,0.0,250.0,1.0,0.004,1.0
GBM965,5.0,CTRL,r03,4.0,1000.0,5.0,0.005,0.32608695652173914
GBM965,5.0,FBS,r03,4.0,1000.0,6.0,0.006,0.36
GBM965,5.0,BMP4,r03,4.0,1000.0,12.0,0.012,0.8999999999999998
GBM965,5.0,MSC-EV,r03,4.0,1000.0,9.0,0.009,0.6428571428571428
GBM965,5.0,MSC-BMP4,r04,4.0,1000.0,11.0,0.011,0.7857142857142857
GBM965,5.0,MSC-EV,r04,4.0,1000.0,11.0,0.011,0.7857142857142857
GBM965,5.0,BMP4,r04,4.0,1000.0,7.0,0.007,0.5249999999999999
GBM965,5.0,FBS,r04,4.0,1000.0,12.0,0.012,0.72
GBM965,5.0,CTRL,r04,4.0,1000.0,6.0,0.006,0.391304347826087
QNS120,1.0,BMP4,r02,0.0,250.0,1.0,0.004,1.0
QNS120,1.0,BMP4,r03,0.0,250.0,1.0,0.004,1.0
QNS120,1.0,BMP4,r06,0.0,250.0,1.0,0.004,1.0
QNS120,3.0,BMP4,r01,0.0,500.0,1.0,0.002,0.8571428571428571
QNS120,3.0,BMP4,r02,0.0,500.0,1.0,0.002,0.8571428571428571
QNS120,3.0,BMP4,r03,0.0,500.0,2.0,0.004,1.7142857142857142
QNS120,3.0,BMP4,r04,0.0,500.0,1.0,0.002,0.8571428571428571
QNS120,3.0,BMP4,r05,0.0,500.0,1.0,0.002,0.8571428571428571
QNS120,3.0,BMP4,r06,0.0,500.0,1.0,0.002,0.8571428571428571
QNS120,1.0,MSC-EV,r01,2.0,500.0,1.0,0.002,0.42857142857142855
GBM965,5.0,FBS,r05,4.0,1000.0,9.0,0.009,0.5399999999999999
GBM965,5.0,BMP4,r05,4.0,1000.0,8.0,0.008,0.5999999999999999
GBM965,5.0,MSC-EV,r05,4.0,1000.0,12.0,0.012,0.8571428571428571
GBM965,5.0,MSC-BMP4,r05,4.0,1000.0,9.0,0.009,0.6428571428571429
GBM965,5.0,MSC-BMP4,r06,4.0,1000.0,11.0,0.011,0.7857142857142857
GBM965,5.0,MSC-EV,r06,4.0,1000.0,15.0,0.015,1.0714285714285714
GBM965,5.0,BMP4,r06,4.0,1000.0,11.0,0.011,0.8249999999999998
GBM965,5.0,FBS,r06,4.0,1000.0,12.0,0.012,0.72
GBM965,5.0,CTRL,r06,4.0,1000.0,11.0,0.011,0.717391304347826
QNS120,1.0,MSC-EV,r04,2.0,500.0,1.0,0.002,0.42857142857142855
QNS120,1.0,MSC-EV,r05,2.0,500.0,1.0,0.002,0.42857142857142855
QNS120,1.0,MSC-EV,r02,2.0,500.0,2.0,0.004,0.8571428571428571
QNS120,1.0,MSC-EV,r03,2.0,500.0,1.0,0.002,0.42857142857142855
QNS120,1.0,MSC-EV,r06,2.0,500.0,2.0,0.004,0.8571428571428571
QNS120,2.0,BMP4,r01,4.0,2000.0,2.0,0.001,0.25
QNS120,3.0,BMP4,r02,4.0,2000.0,2.0,0.001,0.42857142857142855
QNS120,2.0,BMP4,r03,4.0,2000.0,3.0,0.0015,0.375
QNS120,3.0,BMP4,r04,4.0,2000.0,1.0,0.0005,0.21428571428571427
QNS120,2.0,BMP4,r05,4.0,2000.0,1.0,0.0005,0.125
GBM965,5.0,CTRL,r01,2.0,500.0,5.0,0.01,0.6521739130434783
GBM965,5.0,FBS,r01,2.0,500.0,9.0,0.018,1.0799999999999998
GBM965,5.0,BMP4,r01,2.0,500.0,5.0,0.01,0.7499999999999999
GBM965,5.0,MSC-EV,r01,2.0,500.0,6.0,0.012,0.8571428571428571
GBM965,5.0,MSC-BMP4,r01,2.0,500.0,7.0,0.014,1.0000000000000002
GBM965,5.0,MSC-BMP4,r02,2.0,500.0,7.0,0.014,1.0000000000000002
GBM965,5.0,BMP4,r02,2.0,500.0,5.0,0.01,0.7499999999999999
GBM965,5.0,FBS,r02,2.0,500.0,6.0,0.012,0.72
GBM965,5.0,CTRL,r02,2.0,500.0,5.0,0.01,0.6521739130434783
QNS120,3.0,BMP4,r06,4.0,2000.0,1.0,0.0005,0.21428571428571427
QNS120,2.0,BMP4,r01,5.0,4000.0,3.0,0.00075,0.1875
QNS120,3.0,BMP4,r02,5.0,4000.0,1.0,0.00025,0.10714285714285714
QNS120,2.0,BMP4,r03,5.0,4000.0,3.0,0.00075,0.1875
QNS120,3.0,BMP4,r04,5.0,4000.0,1.0,0.00025,0.10714285714285714
QNS120,2.0,BMP4,r05,5.0,4000.0,3.0,0.00075,0.1875
QNS120,3.0,BMP4,r06,5.0,4000.0,3.0,0.00075,0.3214285714285714
QNS120,3.0,BMP4,r02,6.0,8000.0,4.0,0.0005,0.21428571428571427
QNS120,2.0,BMP4,r03,6.0,8000.0,4.0,0.0005,0.125
GBM965,5.0,CTRL,r03,2.0,500.0,4.0,0.008,0.5217391304347826
GBM965,5.0,FBS,r03,2.0,500.0,5.0,0.01,0.6
GBM965,5.0,BMP4,r03,2.0,500.0,4.0,0.008,0.5999999999999999
GBM965,5.0,MSC-EV,r03,2.0,500.0,4.0,0.008,0.5714285714285714
